2025-12-26 14:29:37,876 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:29:37,880 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:29:37,907 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:29:37,908 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:29:38,568 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:29:48,571 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:29:48,585 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:29:48,586 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:29:48,587 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:29:48,588 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:29:48,589 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:29:48,823 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:29:58,826 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:29:58,839 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:29:58,840 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:29:58,841 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:29:58,842 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:29:58,843 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:29:58,993 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:30:08,996 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:30:09,010 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:30:09,010 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:30:09,011 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:30:09,012 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:30:09,013 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:30:09,201 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:30:19,205 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:30:19,219 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:30:19,220 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:30:19,221 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:30:19,222 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:30:19,223 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:30:19,445 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:30:29,448 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:30:29,462 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:30:29,463 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:30:29,464 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:30:29,465 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:30:29,466 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:30:29,612 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:30:39,614 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:30:39,628 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:30:39,629 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:30:39,630 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:30:39,631 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:30:39,632 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:30:39,817 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:30:49,820 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:30:49,831 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:30:49,832 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:30:49,833 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:30:49,834 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:30:49,835 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:30:50,058 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:31:00,061 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:31:00,085 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:31:00,087 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:31:00,088 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:31:00,090 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:31:00,091 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:31:00,303 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:31:10,306 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:31:10,320 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:31:10,321 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:31:10,322 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:31:10,323 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:31:10,324 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:31:10,537 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:31:20,540 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:31:20,553 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:31:20,553 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:31:20,555 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:31:20,556 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:31:20,556 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:31:20,780 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:31:30,784 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:31:30,801 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:31:30,802 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:31:30,803 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:31:30,804 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:31:30,804 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:31:30,949 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:31:40,952 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:31:40,963 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:31:40,963 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:31:40,965 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:31:40,966 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:31:40,967 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
2025-12-26 14:31:41,110 | ERROR | noon_report_worker | worker.py:115 | Worker loop error: 403 Your API key was reported as leaked. Please use another API key.
2025-12-26 14:31:51,113 | INFO | noon_report_worker | load_redis_config.py:47 | Configuration updated from Redis. (Re)initializing RabbitMQ...
2025-12-26 14:31:51,130 | INFO | noon_report_worker | worker.py:52 | Processing message (length: 1277)...
2025-12-26 14:31:51,131 | INFO | noon_report_worker | imo_loader.py:31 | Searching Vessel Name in DB: RIZHAO EXPRESS
2025-12-26 14:31:51,132 | INFO | noon_report_worker | imo_loader.py:47 | Matched IMO: 9238595, Vessel: RIZHAO EXPRESS
2025-12-26 14:31:51,133 | INFO | noon_report_worker | prompt_loader.py:30 | Searching tenant in DB: orion
2025-12-26 14:31:51,134 | INFO | noon_report_worker | prompt_loader.py:45 | Searching imo prompt in DB: 9238595
